date_key,year,quarter,quarter_name,month,month_name,year_month,year_quarter,week_of_year,day_of_week,is_weekend,is_month_end
2018-09-14,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,37,4,0,0
2018-09-15,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,37,5,1,0
2018-09-16,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,37,6,1,0
2018-09-17,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,38,0,0,0
2018-09-18,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,38,1,0,0
2018-09-19,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,38,2,0,0
2018-09-20,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,38,3,0,0
2018-09-21,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,38,4,0,0
2018-09-22,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,38,5,1,0
2018-09-23,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,38,6,1,0
2018-09-24,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,39,0,0,0
2018-09-25,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,39,1,0,0
2018-09-26,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,39,2,0,0
2018-09-27,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,39,3,0,0
2018-09-28,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,39,4,0,0
2018-09-29,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,39,5,1,0
2018-09-30,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,39,6,1,1
2018-10-01,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,40,0,0,0
2018-10-02,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,40,1,0,0
2018-10-03,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,40,2,0,0
2018-10-04,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,40,3,0,0
2018-10-05,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,40,4,0,0
2018-10-06,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,40,5,1,0
2018-10-07,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,40,6,1,0
2018-10-08,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,41,0,0,0
2018-10-09,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,41,1,0,0
2018-10-10,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,41,2,0,0
2018-10-11,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,41,3,0,0
2018-10-12,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,41,4,0,0
2018-10-13,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,41,5,1,0
2018-10-14,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,41,6,1,0
2018-10-15,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,42,0,0,0
2018-10-16,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,42,1,0,0
2018-10-17,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,42,2,0,0
2018-10-18,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,42,3,0,0
2018-10-19,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,42,4,0,0
2018-10-20,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,42,5,1,0
2018-10-21,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,42,6,1,0
2018-10-22,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,43,0,0,0
2018-10-23,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,43,1,0,0
2018-10-24,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,43,2,0,0
2018-10-25,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,43,3,0,0
2018-10-26,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,43,4,0,0
2018-10-27,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,43,5,1,0
2018-10-28,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,43,6,1,0
2018-10-29,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,44,0,0,0
2018-10-30,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,44,1,0,0
2018-10-31,2018,4,Q4,10,Tháng 10,2018-10,2018Q4,44,2,0,1
2018-11-01,2018,4,Q4,11,Tháng 11,2018-11,2018Q4,44,3,0,0
2018-11-02,2018,4,Q4,11,Tháng 11,2018-11,2018Q4,44,4,0,0
2018-11-03,2018,4,Q4,11,Tháng 11,2018-11,2018Q4,44,5,1,0
2018-11-04,2018,4,Q4,11,Tháng 11,2018-11,2018Q4,44,6,1,0
2018-11-05,2018,4,Q4,11,Tháng 11,2018-11,2018Q4,45,0,0,0
2018-11-06,2018,4,Q4,11,Tháng 11,2018-11,2018Q4,45,1,0,0
2018-11-07,2018,4,Q4,11,Tháng 11,2018-11,2018Q4,45,2,0,0
